"Id","Sales"
41001,4954.73280784067
40001,194.221668195566
39001,6919.95558040054
38001,6110.97522114478
37001,5680.70970218606
36001,5406.0980872721
35001,5855.31086212783
34001,4954.73280784067
33001,194.221668195566
32001,6919.95558040054
31001,6110.97522114478
30001,5680.70970218606
29001,5406.0980872721
28001,5855.31086212783
27001,4954.73280784067
26001,194.221668195566
25001,6919.95558040054
24001,6110.97522114478
23001,5680.70970218606
22001,5406.0980872721
21001,5855.31086212783
20001,4954.73280784067
19001,194.221668195566
18001,6919.95558040054
17001,6110.97522114478
16001,5680.70970218606
15001,5406.0980872721
14001,5855.31086212783
13001,4954.73280784067
12001,194.221668195566
11001,6919.95558040054
10001,6110.97522114478
9001,5680.70970218606
8001,5406.0980872721
7001,5855.31086212783
6001,4954.73280784067
5001,194.221668195566
4001,6919.95558040054
3001,6110.97522114478
2001,5680.70970218606
1001,5406.0980872721
1,5855.31086212783
41002,4954.73280784067
40002,194.221668195566
39002,6919.95558040054
38002,6110.97522114478
37002,5680.70970218606
36002,5406.0980872721
35002,5855.31086212783
34002,4954.73280784067
33002,194.221668195566
32002,6919.95558040054
31002,6110.97522114478
30002,5680.70970218606
29002,5406.0980872721
28002,5855.31086212783
27002,4954.73280784067
26002,194.221668195566
25002,6919.95558040054
24002,6110.97522114478
23002,5680.70970218606
22002,5406.0980872721
21002,5855.31086212783
20002,4954.73280784067
19002,194.221668195566
18002,6919.95558040054
17002,6110.97522114478
16002,5680.70970218606
15002,5406.0980872721
14002,5855.31086212783
13002,4954.73280784067
12002,194.221668195566
11002,6919.95558040054
10002,6110.97522114478
9002,5680.70970218606
8002,5406.0980872721
7002,5855.31086212783
6002,4954.73280784067
5002,194.221668195566
4002,6919.95558040054
3002,6110.97522114478
2002,5680.70970218606
1002,5406.0980872721
2,5855.31086212783
41003,4954.73280784067
40003,194.221668195566
39003,6919.95558040054
38003,6110.97522114478
37003,5680.70970218606
36003,5406.0980872721
35003,5855.31086212783
34003,4954.73280784067
33003,194.221668195566
32003,6919.95558040054
31003,6110.97522114478
30003,5680.70970218606
29003,5406.0980872721
28003,5855.31086212783
27003,4954.73280784067
26003,194.221668195566
25003,6919.95558040054
24003,6110.97522114478
23003,5680.70970218606
22003,5406.0980872721
21003,5855.31086212783
20003,4954.73280784067
19003,194.221668195566
18003,6919.95558040054
17003,6110.97522114478
16003,5680.70970218606
15003,5406.0980872721
14003,5855.31086212783
13003,4954.73280784067
12003,194.221668195566
11003,6919.95558040054
10003,6110.97522114478
9003,5680.70970218606
8003,5406.0980872721
7003,5855.31086212783
6003,4954.73280784067
